date,Open,High,Low,Close
2020-12-08 09:30:00,104.061,104.0765,103.999,104.002
2020-12-08 10:00:00,104.002,104.041,103.96549999999999,104.031
2020-12-08 10:30:00,104.031,104.1115,104.008,104.073
2020-12-08 11:00:00,104.073,104.0925,104.056,104.088
2020-12-08 11:30:00,104.088,104.1045,104.055,104.104
2020-12-08 12:00:00,104.104,104.127,104.068,104.08449999999999
2020-12-08 12:30:00,104.08449999999999,104.181,104.079,104.14750000000001
2020-12-08 13:00:00,104.14750000000001,104.1645,104.0275,104.0975
2020-12-08 13:30:00,104.0975,104.1135,104.0485,104.1035
2020-12-08 14:00:00,104.1035,104.104,104.02600000000001,104.0715
2020-12-08 14:30:00,104.0715,104.1285,104.053,104.111
2020-12-08 15:00:00,104.111,104.173,104.0745,104.1585
2020-12-08 15:30:00,104.1585,104.2085,104.11250000000001,104.1265
2020-12-08 16:00:00,104.1265,104.167,104.114,104.142
2020-12-08 16:30:00,104.142,104.175,104.1225,104.142
2020-12-08 17:00:00,104.142,104.1615,104.126,104.15950000000001
2020-12-08 17:30:00,104.15950000000001,104.1615,104.1135,104.12549999999999
2020-12-08 18:00:00,104.12549999999999,104.1735,104.117,104.148
2020-12-08 18:30:00,104.148,104.17,104.1425,104.16550000000001
2020-12-08 19:00:00,104.16550000000001,104.171,104.1425,104.1585
2020-12-08 19:30:00,104.1585,104.177,104.1575,104.1735
2020-12-08 20:00:00,104.1735,104.185,104.162,104.18350000000001
2020-12-08 20:30:00,104.18350000000001,104.1845,104.145,104.163
2020-12-08 21:00:00,104.163,104.181,104.154,104.16550000000001
2020-12-08 21:30:00,104.16550000000001,104.17150000000001,104.1465,104.154
2020-12-08 22:00:00,104.154,104.181,104.155,104.16749999999999
2020-12-08 22:30:00,104.16749999999999,104.178,104.1465,104.1625
2020-12-08 23:00:00,104.1625,104.17949999999999,104.15100000000001,104.1565
2020-12-08 23:30:00,104.1565,104.168,104.1305,104.14150000000001
2020-12-09 00:00:00,104.14150000000001,104.1735,104.118,104.122
2020-12-09 00:30:00,104.122,104.1515,104.1065,104.14150000000001
2020-12-09 01:00:00,104.14150000000001,104.1705,104.1245,104.158
2020-12-09 01:30:00,104.158,104.1635,104.128,104.14750000000001
2020-12-09 02:00:00,104.14750000000001,104.16,104.128,104.14750000000001
2020-12-09 02:30:00,104.14750000000001,104.173,104.1445,104.1445
2020-12-09 03:00:00,104.1445,104.152,104.128,104.1375
2020-12-09 03:30:00,104.1375,104.153,104.1225,104.1525
2020-12-09 04:00:00,104.1525,104.15350000000001,104.126,104.13550000000001
2020-12-09 04:30:00,104.13550000000001,104.137,104.11699999999999,104.136
2020-12-09 05:00:00,104.136,104.163,104.1285,104.149
2020-12-09 05:30:00,104.149,104.16,104.1375,104.155
2020-12-09 06:00:00,104.155,104.1835,104.1445,104.1545
2020-12-09 06:30:00,104.1545,104.1935,104.1435,104.186
2020-12-09 07:00:00,104.186,104.2445,104.18299999999999,104.2295
2020-12-09 07:30:00,104.2295,104.2445,104.202,104.221
2020-12-09 08:00:00,104.221,104.2515,104.2075,104.2305
2020-12-09 08:30:00,104.2305,104.243,104.162,104.17150000000001
2020-12-09 09:00:00,104.17150000000001,104.1875,104.14750000000001,104.17150000000001
2020-12-09 09:30:00,104.17150000000001,104.2005,104.0625,104.0885
2020-12-09 10:00:00,104.0885,104.1095,104.0535,104.07249999999999
